@relation R_data_frame

@attribute V1 {1,2,3,4}
@attribute V2 {1,2,3}
@attribute V3 {1,2,3,4,5,6}
@attribute V4 {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute V5 {1,2,3,4,5,6}
@attribute V6 {1,2,3,4}
@attribute V7 {1,2}
@attribute V8 {1,2,3,4,5}
@attribute V9 {1,2,3,4}
@attribute V10 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}
@attribute V11 {1,2,3,4,5}
@attribute V12 {1,2,3}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
4,1,3,1,6,1,2,3,1,1,3,2,-1
4,2,3,1,3,1,1,5,1,1,3,2,-1
1,2,1,1,1,1,1,3,1,6,1,2,-1
2,3,5,3,4,1,1,5,1,1,5,1,-1
2,2,1,1,2,1,1,5,1,1,2,2,-1
4,3,3,3,2,1,1,3,4,14,1,1,1
4,3,5,1,4,1,2,3,2,12,1,2,1
1,3,1,1,1,1,1,5,1,4,1,2,1
1,2,1,1,2,1,1,5,2,8,1,2,1
1,3,3,1,3,1,1,3,2,10,1,2,1
2,1,1,3,1,1,1,5,1,4,1,2,1
1,2,3,3,4,1,1,3,2,6,1,2,1
4,2,5,3,6,1,2,5,2,1,2,1,1
1,1,3,3,3,1,1,1,1,1,4,1,1
4,2,1,1,1,1,1,5,2,8,1,2,1
4,2,1,3,3,1,2,3,1,1,3,2,1
4,2,1,1,1,1,1,5,2,4,2,1,1
1,3,3,1,3,1,1,5,2,6,1,1,1
